Title,Short Description,Link,ImageURL
Dental Supplies,Crazy Dental Prices,https://www.crazydentalprices.com/dentalwisdom,images/deals/dental-supplies.png
Dental Equipment,All Practice Solutions,https://allpracticesolutions.com/dental-wisdom/,images/deals/dental-equipment.png
orthobrain,Clear Aligners,https://orthobrain.com/,images/deals/orthobrain.png
Emerald Dental Lab,Dental Lab,https://www.emeralddentallab.com/promo/,images/deals/emerald-dental-lab.png
MB Precious Metals (Dental Refining),Scrap Metal Refining,https://mbpreciousmetals.com/,images/deals/mb-precious-metals.png
Apex Reimbursement Specialists,Revenue Cycle,https://apexreimbursement.com/dental-wisdom/,images/deals/apex-reimbursement.jpg
Lasso MD,Dental Marketing,https://www.lassomd.com/work-with-us/partners/dental-wisdom,images/deals/lasso-md.png
Credit Card Processing,Payment Processing,https://dentalprocessingsolutions.com/,images/deals/credit-card-processing.png
Jim the OSHA & HIPAA Man,OSHA & HIPAA,https://www.theoshaman.com/,images/deals/jim-osha-hipaa.png
AAFE (American Academy of Facial Esthetics),Botox & Filler Training,https://facialesthetics.org/,images/deals/aafe.png
Pearl,Dental AI,https://discover.hellopearl.com/dental-wisdom/,images/deals/pearl.png
Dental Intelligence,Practice Analytics,https://www.dentalintel.com/referral-partner/dental-wisdom,images/deals/dental-intelligence.png
Mango Voice,Phone System,https://mangovoice.com/dental-wisdom/,images/deals/mango-voice.png
Stratus,Insurance Verification,https://www.usestratus.com/dental-wisdom,images/deals/stratus.png
Cherry,Patient Financing,"https://withcherry.com/dental-wisdom/?utm_source=dental-wisdom&utm_medium=partner-page&leadsource=referral",images/deals/cherry.png
Dental Warranty,Patient Warranty Plans,https://go.dentalwarrantycorp.com/wisdom,images/deals/dental-warranty.png
Pearly,Billing & Collections,https://www.pearly.co/partner/dental-wisdom-pearly-partnership,images/deals/pearly.png
Ubiquity Retirement + Savings,401(k) Plans,https://www.myubiquity.com/partners/dental-wisdom,images/deals/ubiquity.png
Masserano Practice Design & Development,Practice Design,https://www.masseranopractices.com/,images/deals/masserano.png
QuickBooks,Accounting Software,https://quickbooks.partnerlinks.io/ibvvgku1t9am,images/deals/quickbooks.png
Oriental Trading Company,Patient Prizes & Toys,https://goto.orientaltrading.com/c/6309674/80519/1985,images/deals/oriental-trading.png
Draftss,Graphic Design,https://draftss.com/?via=dentalwisdom,images/deals/draftss.png
Google Workspace,Email & Productivity,https://referworkspace.app.goo.gl/5oGK,images/deals/google-workspace.png
Splashtop,Remote Access,https://referral.splashtop.com/mQF8Mh0,images/deals/splashtop.png
Harmonious,Payroll & HR,https://www.hrmonious.com/dental,images/deals/harmonious.png
Dental Recruiter (In-Office Staff),Staff Recruiting,https://dentalcareerservices.com/,images/deals/dental-recruiter.png
Reach (Virtual Dental Assistants),Virtual Assistants,https://lp.getreach.co/dentalwisdom,images/deals/reach.png
Princess Dental Staffing,Dental Staffing,https://www.princessdentalstaffing.com/?via=dentalwisdom,images/deals/princess-dental-staffing.png
Sam Waller - LiveWell Capital (Financial Advisor),Financial Planning,https://www.livewellcapital.com/,images/deals/livewell-capital.png
CG Insurance Group,Practice Insurance,https://cginsurancegroup.com/dental-wisdom/,images/deals/cg-insurance.png
Student Loan Advisor,Student Loan Help,https://www.studentloanplanner.com/dentalwisdom,images/deals/student-loan-planner.png
Hazorfim,Judaica Silver,https://hazorfim.com/,images/deals/hazorfim.png
Rockets into Roses,Art & Jewelry,https://theisraelboutique.com/category/rocket-art/all-rocket-art/?a=dental,images/deals/rockets-into-roses.png
Pizza Biza,Kosher Catering,https://www.pizzabiza.com/,images/deals/pizza-biza.jpg
ArtScroll,Jewish Books,https://www.artscroll.com/WISDOM,images/deals/artscroll.png
Nuts.com,Nuts & Snacks,"https://share.nuts.com/Benjamin19!a929aa044a!a",images/deals/nuts-com.png
Mulami,Kosher Charcuterie,https://mulami.com/collections,images/deals/mulami.png
Aufschnitt Meats,Beef Jerky,https://www.aufschnittmeats.com/,images/deals/aufschnitt-meats.png
My Tree,Adopt-a-Tree Gifts,https://www.mytree.org.il/partnership-1/dental-wisdom,images/deals/my-tree.png
Holy Oasis,Israeli Olive Oil,https://www.holyoasis.com/,images/deals/holy-oasis.png
Zolli Candy,Sugar-Free Candy,"https://shop.zollipops.com/products/zolli-smiles-quarterly-5lbs-of-original-assorted-zollipops-hex-jar-coupons-and-brochures?selling_plan=4406477056&variant=46911495602432",images/deals/zolli-candy.png
Marcus by Goldman Sachs High-Yield Savings,High-Yield Savings,https://www.marcus.com/share/BEN-NBJ-Q1FB,images/deals/marcus-goldman-sachs.png
Wealthfront,Robo-Advisor,https://www.wealthfront.com/c/affiliates/invited/AFFD-QIKO-32DP-IFSV,images/deals/wealthfront.png
Tesla Referral,Tesla Referral,https://ts.la/stephen415125,images/deals/tesla.png
